customer_id,gender,age,payment_method
C195825,Female,33.0,Cash
C111283,Female,18.0,Debit Card
C135858,Male,24.0,Cash
C342147,Female,53.0,Cash
C318250,Male,38.0,Credit Card
C930868,Male,49.0,Credit Card
C160427,Male,32.0,Credit Card
C231725,Male,69.0,Cash
C194643,Female,44.0,Credit Card
C186152,Female,41.0,Debit Card
C204505,Female,31.0,Cash
C230608,Female,41.0,Debit Card
C313367,Male,58.0,Credit Card
C280886,Male,47.0,Cash
C100540,Male,48.0,Debit Card
C167515,Male,66.0,Cash
C292448,Male,27.0,Cash
C186426,Female,25.0,Credit Card
C313265,Female,60.0,Cash
C274249,Male,36.0,Debit Card
C960234,Female,18.0,Cash
C194674,Female,47.0,Credit Card
C169564,Female,24.0,Cash
C267095,Male,36.0,Credit Card
C474629,Female,52.0,Debit Card
C747093,Female,38.0,Credit Card
C218414,Female,49.0,Cash
C980059,Female,28.0,Cash
C131523,Female,55.0,Credit Card
C867686,Female,58.0,Debit Card
C115968,Female,37.0,Credit Card
C122071,Male,26.0,Cash
C176859,Male,39.0,Debit Card
C105312,Male,31.0,Credit Card
C337730,Female,50.0,Cash
C565544,Female,47.0,Credit Card
C182583,Female,67.0,Cash
C222479,Male,56.0,Credit Card
C297815,Male,46.0,Debit Card
C207376,Female,35.0,Cash
C769831,Male,27.0,Credit Card
C568511,Female,62.0,Cash
C151343,Female,63.0,Credit Card
C107080,Male,44.0,Cash
C198524,Female,65.0,Debit Card
C140541,Female,nan,Cash
C190351,Female,33.0,Cash
C171912,Female,37.0,Cash
C221163,Male,36.0,Cash
C174719,Female,67.0,Debit Card
C296768,Male,21.0,Cash
C211063,Male,27.0,Cash
C826598,Male,61.0,Cash
C995929,Female,30.0,Debit Card
C304458,Male,54.0,Cash
C312755,Female,45.0,Credit Card
C178875,Female,29.0,Credit Card
C192647,Female,65.0,Cash
C180483,Male,33.0,Cash
C266021,Female,52.0,Cash
C167867,Female,27.0,Cash
C770035,Female,33.0,Cash
C224302,Female,35.0,Debit Card
C883801,Male,40.0,Cash
C287117,Female,29.0,Cash
C727856,Male,28.0,Cash
C700338,Female,47.0,Cash
C930307,Male,28.0,Credit Card
C153324,Male,34.0,Cash
C203531,Female,63.0,Cash
C247966,Female,48.0,Debit Card
C214303,Female,33.0,Credit Card
C173220,Male,21.0,Cash
C444933,Male,24.0,Credit Card
C762218,Female,33.0,Cash
C478916,Male,49.0,Cash
C301867,Male,46.0,Credit Card
C537219,Male,18.0,Cash
C229082,Female,67.0,Debit Card
C458428,Female,31.0,Debit Card
C713926,Male,27.0,Credit Card
C180890,Female,24.0,Cash
C422294,Female,65.0,Cash
C785915,Male,43.0,Cash
C101489,Male,60.0,Credit Card
C315517,Female,44.0,Debit Card
C245544,Female,60.0,Cash
C300003,Male,50.0,Credit Card
C777456,Female,36.0,Credit Card
C195041,Male,67.0,Credit Card
C330479,Male,53.0,Cash
C267828,Female,20.0,Credit Card
C710530,Male,63.0,Cash
C102084,Female,55.0,Cash
C222252,Female,42.0,Credit Card
C882859,Female,39.0,Debit Card
C530789,Female,18.0,Cash
C256781,Female,60.0,Cash
C973833,Female,67.0,Cash
C322465,Male,29.0,Debit Card
C255155,Female,29.0,Cash
C310803,Female,45.0,Credit Card
C236626,Male,50.0,Cash
C132625,Male,68.0,Cash
C317765,Female,28.0,Cash
C185832,Female,61.0,Cash
C178882,Female,35.0,Credit Card
C145727,Female,63.0,Debit Card
C950908,Female,37.0,Cash
C290348,Male,57.0,Cash
C531894,Female,33.0,Credit Card
C265692,Male,69.0,Debit Card
C384254,Male,22.0,Credit Card
C361239,Male,69.0,Debit Card
C209838,Male,66.0,Cash
C143455,Male,41.0,Cash
C215095,Male,43.0,Debit Card
C158756,Female,68.0,Cash
C191650,Female,57.0,Debit Card
C264577,Female,41.0,Cash
C111628,Male,19.0,Credit Card
C350520,Female,53.0,Cash
C296868,Female,27.0,Credit Card
C766878,Female,56.0,Debit Card
C201303,Male,54.0,Cash
C292366,Female,63.0,Credit Card
C100451,Male,32.0,Cash
C232329,Female,51.0,Cash
C622935,Female,19.0,Cash
C206359,Male,40.0,Cash
C239418,Female,29.0,Credit Card
C425168,Female,33.0,Credit Card
C105844,Male,23.0,Credit Card
C147815,Female,56.0,Credit Card
C887571,Male,47.0,Debit Card
C451915,Male,42.0,Cash
C211328,Female,63.0,Credit Card
C262245,Female,44.0,Cash
C236920,Female,69.0,Debit Card
C205521,Female,27.0,Cash
C226443,Female,66.0,Credit Card
C984124,Female,49.0,Debit Card
C249438,Female,40.0,Cash
C259725,Female,31.0,Credit Card
C240814,Female,27.0,Cash
C992447,Female,38.0,Debit Card
C296729,Female,50.0,Credit Card
C320054,Male,46.0,Credit Card
C493882,Male,36.0,Credit Card
C111602,Female,20.0,Cash
C141421,Female,48.0,Cash
C947729,Female,45.0,Cash
C172140,Female,37.0,Cash
C806389,Female,22.0,Cash
C262590,Female,52.0,Debit Card
C224565,Male,37.0,Debit Card
C172311,Male,36.0,Cash
C228811,Male,26.0,Cash
C176711,Female,51.0,Cash
C211679,Male,37.0,Debit Card
C297272,Male,63.0,Credit Card
C232404,Male,26.0,Credit Card
C115240,Male,61.0,Cash
C856387,Male,69.0,Credit Card
C323703,Female,25.0,Credit Card
C299040,Female,35.0,Credit Card
C100561,Male,66.0,Cash
C163532,Male,46.0,Cash
C195161,Female,31.0,Credit Card
C223681,Female,60.0,Debit Card
C721560,Male,36.0,Credit Card
C289661,Male,66.0,Debit Card
C222140,Male,34.0,Cash
C105553,Male,56.0,Cash
C318319,Female,36.0,Cash
C115505,Female,18.0,Cash
C213516,Female,18.0,Cash
C188039,Female,32.0,Debit Card
C149620,Male,62.0,Cash
C513747,Female,31.0,Credit Card
C486938,Female,18.0,Credit Card
C430223,Female,22.0,Cash
C128502,Female,24.0,Cash
C118832,Male,23.0,Credit Card
C296081,Female,52.0,Credit Card
C693272,Female,45.0,Debit Card
C151703,Female,44.0,Credit Card
C990220,Female,35.0,Credit Card
C137415,Female,58.0,Debit Card
C382371,Female,27.0,Credit Card
C501135,Female,42.0,Cash
C420679,Female,26.0,Cash
C337337,Male,44.0,Cash
C190094,Female,24.0,Cash
C268047,Female,57.0,Credit Card
C224033,Male,28.0,Debit Card
C195834,Female,26.0,Cash
C196206,Male,37.0,Credit Card
C298742,Male,51.0,Cash
C195150,Female,63.0,Cash
C259065,Female,20.0,Cash
C539871,Male,22.0,Cash
C312583,Female,23.0,Debit Card
C282234,Female,58.0,Cash
C286607,Female,50.0,Credit Card
C248548,Female,53.0,Debit Card
C327326,Male,48.0,Cash
C332897,Male,50.0,Cash
C303984,Female,21.0,Cash
C141910,Male,22.0,Cash
C969814,Female,59.0,Cash
C569143,Male,44.0,Credit Card
C338868,Female,32.0,Cash
C410940,Female,33.0,Credit Card
C221713,Male,63.0,Credit Card
C212750,Male,61.0,Cash
C221645,Female,32.0,Credit Card
C108563,Male,25.0,Credit Card
C323828,Female,23.0,Credit Card
C113263,Female,48.0,Cash
C323955,Male,58.0,Credit Card
C756940,Female,18.0,Cash
C172215,Female,55.0,Credit Card
C451849,Male,55.0,Credit Card
C223399,Male,32.0,Debit Card
C110045,Female,21.0,Cash
C522955,Female,46.0,Debit Card
C224701,Female,28.0,Cash
C133519,Female,24.0,Credit Card
C181366,Female,61.0,Cash
C251791,Male,42.0,Cash
C166050,Male,66.0,Credit Card
C140983,Male,57.0,Cash
C367810,Male,32.0,Credit Card
C191944,Female,45.0,Cash
C338124,Female,34.0,Cash
C256299,Female,43.0,Cash
C100651,Female,58.0,Credit Card
C272036,Male,18.0,Cash
C156604,Female,30.0,Cash
C216933,Male,60.0,Credit Card
C301285,Male,29.0,Cash
C221378,Male,22.0,Credit Card
C242380,Female,37.0,Cash
C750603,Female,43.0,Cash
C218566,Female,21.0,Credit Card
C769914,Female,48.0,Debit Card
C145677,Male,42.0,Cash
C130428,Female,67.0,Credit Card
C321936,Male,19.0,Debit Card
C268598,Male,41.0,Cash
C187491,Female,69.0,Cash
C225939,Female,60.0,Credit Card
C168575,Male,49.0,Cash
C107997,Male,65.0,Cash
C675706,Female,42.0,Cash
C702429,Male,29.0,Cash
C105783,Female,28.0,Cash
C480969,Female,39.0,Credit Card
C293285,Male,37.0,Debit Card
C134277,Male,56.0,Credit Card
C237352,Female,38.0,Cash
C196680,Male,67.0,Debit Card
C312644,Female,64.0,Cash
C246052,Female,33.0,Debit Card
C219964,Female,56.0,Cash
C274338,Female,50.0,Cash
C162668,Male,56.0,Cash
C122279,Female,60.0,Cash
C298873,Male,61.0,Cash
C885185,Female,26.0,Cash
C295697,Female,45.0,Credit Card
C740276,Male,64.0,Credit Card
C153585,Female,26.0,Credit Card
C223163,Female,67.0,Cash
C955696,Male,24.0,Cash
C336393,Female,38.0,Credit Card
C498308,Female,37.0,Credit Card
C493908,Female,25.0,Cash
C795774,Male,18.0,Credit Card
C338587,Female,37.0,Cash
C339842,Female,48.0,Cash
C326806,Male,68.0,Credit Card
C539982,Male,40.0,Cash
C154261,Female,38.0,Credit Card
C321725,Male,24.0,Debit Card
C889515,Male,39.0,Cash
C187419,Male,23.0,Credit Card
C319716,Female,31.0,Cash
C463928,Male,26.0,Cash
C421190,Male,50.0,Debit Card
C186458,Female,68.0,Credit Card
C150734,Female,62.0,Cash
C108336,Female,39.0,Credit Card
C169511,Female,38.0,Cash
C150938,Male,63.0,Cash
C122048,Female,63.0,Cash
C269638,Female,58.0,Debit Card
C217430,Male,36.0,Credit Card
C214306,Male,68.0,Cash
C206542,Female,20.0,Cash
C239288,Female,49.0,Credit Card
C320510,Male,55.0,Cash
C127097,Male,28.0,Cash
C153899,Female,38.0,Cash
C862919,Female,18.0,Debit Card
C292819,Male,52.0,Credit Card
C108392,Male,47.0,Debit Card
C101278,Female,59.0,Cash
C299336,Female,53.0,Credit Card
C166031,Female,20.0,Credit Card
C384370,Male,61.0,Cash
C155847,Male,27.0,Cash
C383439,Female,63.0,Cash
C236676,Female,47.0,Cash
C126219,Female,67.0,Cash
C231939,Female,37.0,Credit Card
C413234,Male,23.0,Debit Card
C249818,Male,65.0,Credit Card
C250022,Male,59.0,Cash
C156448,Male,27.0,Cash
C284182,Female,48.0,Credit Card
C270266,Male,39.0,Debit Card
C869293,Female,55.0,Credit Card
C460211,Male,30.0,Debit Card
C214179,Female,67.0,Credit Card
C180322,Female,32.0,Credit Card
C132254,Female,39.0,Cash
C105241,Male,62.0,Credit Card
C330280,Male,56.0,Cash
C106652,Male,27.0,Credit Card
C173273,Male,52.0,Debit Card
C185607,Female,27.0,Credit Card
C579846,Female,19.0,Credit Card
C303884,Male,36.0,Debit Card
C106464,Male,47.0,Cash
C198879,Male,52.0,Cash
C644186,Female,32.0,Cash
C213345,Female,37.0,Cash
C175634,Female,34.0,Cash
C238407,Female,41.0,Cash
C324496,Male,37.0,Debit Card
C266888,Female,34.0,Credit Card
C317485,Female,20.0,Cash
C221279,Male,69.0,Cash
C851650,Female,26.0,Cash
C219715,Male,30.0,Cash
C233547,Female,28.0,Cash
C365133,Male,38.0,Credit Card
C408927,Female,19.0,Cash
C135874,Female,41.0,Cash
C559087,Female,39.0,Credit Card
C376219,Female,55.0,Credit Card
C314615,Female,20.0,Credit Card
C570309,Female,46.0,Credit Card
C457933,Female,53.0,Cash
C335671,Female,63.0,Debit Card
C722703,Female,40.0,Cash
C306271,Male,52.0,Credit Card
C306259,Male,65.0,Cash
C205439,Female,64.0,Cash
C280489,Female,54.0,Cash
C172614,Female,62.0,Debit Card
C145888,Female,62.0,Cash
C184001,Female,47.0,Debit Card
C278262,Male,51.0,Credit Card
C321315,Female,54.0,Credit Card
C300625,Female,67.0,Credit Card
C254929,Female,26.0,Cash
C568826,Female,42.0,Cash
C254007,Male,30.0,Debit Card
C347605,Female,50.0,Credit Card
C289569,Male,66.0,Debit Card
C359459,Female,59.0,Cash
C941532,Female,50.0,Cash
C109455,Female,19.0,Cash
C113264,Male,53.0,Cash
C106004,Female,41.0,Cash
C250803,Male,46.0,Cash
C284570,Female,21.0,Cash
C661118,Female,41.0,Cash
C164182,Male,41.0,Credit Card
C377944,Male,56.0,Credit Card
C276219,Male,62.0,Debit Card
C257755,Male,68.0,Credit Card
C209805,Male,49.0,Credit Card
C320778,Female,40.0,Cash
C622983,Female,32.0,Debit Card
C332528,Male,64.0,Debit Card
C281177,Female,47.0,Credit Card
C298201,Male,39.0,Debit Card
C702864,Male,24.0,Cash
C248503,Female,21.0,Cash
C207889,Male,27.0,Credit Card
C100672,Male,25.0,Cash
C243299,Female,57.0,Debit Card
C238908,Female,66.0,Cash
C294528,Male,32.0,Credit Card
C182473,Male,32.0,Cash
C238533,Female,18.0,Debit Card
C335717,Male,43.0,Debit Card
C291302,Female,53.0,Credit Card
C304517,Female,26.0,Debit Card
C228599,Female,66.0,Credit Card
C245349,Male,69.0,Credit Card
C891741,Female,23.0,Credit Card
C237309,Male,37.0,Credit Card
C347148,Female,68.0,Credit Card
C553679,Male,48.0,Cash
C233852,Male,37.0,Cash
C305576,Female,66.0,Credit Card
C326393,Female,28.0,Cash
C143246,Male,33.0,Cash
C275082,Female,39.0,Credit Card
C989688,Female,61.0,Cash
C241461,Female,33.0,Credit Card
C626080,Male,43.0,Credit Card
C203066,Male,33.0,Cash
C374461,Female,45.0,Debit Card
C266480,Female,67.0,Cash
C106844,Male,32.0,Cash
C815507,Male,37.0,Cash
C205142,Female,67.0,Credit Card
C204508,Female,37.0,Cash
C260563,Male,62.0,Debit Card
C311379,Female,21.0,Credit Card
C102332,Female,39.0,Credit Card
C180592,Female,19.0,Credit Card
C275049,Female,60.0,Cash
C110986,Male,29.0,Cash
C644518,Female,30.0,Credit Card
C252297,Male,33.0,Debit Card
C326893,Female,56.0,Cash
C138053,Female,60.0,Cash
C837949,Female,37.0,Credit Card
C229174,Female,69.0,Cash
C227168,Female,45.0,Credit Card
C327310,Female,21.0,Cash
C167313,Female,50.0,Credit Card
C265546,Male,69.0,Cash
C110471,Male,29.0,Cash
C167489,Male,18.0,Debit Card
C749748,Female,28.0,Credit Card
C259946,Male,44.0,Credit Card
C256297,Female,39.0,Credit Card
C639463,Male,24.0,Cash
C405148,Female,42.0,Credit Card
C299813,Female,23.0,Cash
C279281,Female,41.0,Cash
C135723,Female,69.0,Debit Card
C113935,Female,66.0,Credit Card
C901355,Female,54.0,Debit Card
C244264,Female,31.0,Cash
C120581,Female,20.0,Credit Card
C949703,Male,38.0,Cash
C359984,Female,31.0,Debit Card
C197235,Female,32.0,Credit Card
C135991,Female,69.0,Credit Card
C160512,Female,51.0,Credit Card
C137181,Male,25.0,Credit Card
C244774,Male,28.0,Debit Card
C235351,Female,68.0,Debit Card
C191185,Female,32.0,Debit Card
C397154,Female,55.0,Cash
C217588,Female,49.0,Credit Card
C144638,Female,60.0,Cash
C106414,Female,60.0,Credit Card
C121598,Male,57.0,Debit Card
C266543,Female,18.0,Credit Card
C369978,Male,38.0,Cash
C226077,Female,64.0,Credit Card
C547805,Female,57.0,Credit Card
C336693,Male,35.0,Credit Card
C256922,Female,39.0,Credit Card
C256567,Female,38.0,Debit Card
C298093,Male,65.0,Debit Card
C201010,Female,59.0,Credit Card
C253653,Male,64.0,Cash
C246419,Female,64.0,Cash
C468522,Female,35.0,Debit Card
C210060,Female,56.0,Credit Card
C124256,Female,58.0,Cash
C237283,Female,23.0,Credit Card
C212266,Female,59.0,Debit Card
C154490,Female,48.0,Cash
C217319,Male,57.0,Credit Card
C284162,Female,28.0,Credit Card
C334976,Male,30.0,Cash
C244197,Male,49.0,Credit Card
C446749,Male,62.0,Debit Card
C175699,Male,54.0,Credit Card
C293503,Male,26.0,Cash
C492754,Female,24.0,Cash
C174822,Female,45.0,Debit Card
C173636,Female,21.0,Cash
C124705,Female,45.0,Cash
C246670,Male,61.0,Credit Card
C113200,Female,41.0,Credit Card
C100005,Male,34.0,Cash
C311992,Female,60.0,Debit Card
C897259,Male,59.0,Cash
C137116,Female,63.0,Credit Card
C224041,Female,39.0,Cash
C147231,Male,43.0,Cash
C865443,Female,27.0,Credit Card
C215722,Male,49.0,Debit Card
C271317,Female,68.0,Debit Card
C857253,Female,68.0,Debit Card
C207440,Female,65.0,Credit Card
C875107,Male,45.0,Credit Card
C535608,Male,32.0,Cash
C877398,Female,38.0,Debit Card
C375954,Female,37.0,Cash
C211633,Female,39.0,Cash
C153504,Female,64.0,Debit Card
C143476,Female,28.0,Cash
C330083,Female,44.0,Credit Card
C313589,Female,44.0,Cash
C307940,Male,24.0,Cash
C176201,Female,28.0,Cash
C110742,Male,61.0,Credit Card
C309874,Male,46.0,Cash
C120663,Female,32.0,Debit Card
C254235,Male,65.0,Debit Card
C274169,Female,58.0,Cash
C302326,Male,19.0,Credit Card
C137102,Female,26.0,Cash
C329449,Female,52.0,Cash
C164222,Female,39.0,Debit Card
C160002,Male,39.0,Debit Card
C240942,Male,68.0,Credit Card
C122206,Female,41.0,Credit Card
C121970,Female,57.0,Cash
C232931,Female,21.0,Cash
C211854,Female,37.0,Cash
C187775,Male,25.0,Cash
C221995,Male,50.0,Cash
C277406,Female,30.0,Credit Card
C857485,Female,44.0,Credit Card
C150759,Female,44.0,Credit Card
C134671,Female,29.0,Debit Card
C215378,Male,28.0,Cash
C282842,Male,44.0,Credit Card
C275432,Female,38.0,Credit Card
C146025,Female,34.0,Cash
C209632,Male,53.0,Cash
C335539,Male,64.0,Credit Card
C179570,Male,61.0,Credit Card
C285350,Male,56.0,Cash
C203892,Female,42.0,Credit Card
C294946,Female,53.0,Cash
C169589,Male,57.0,Credit Card
C332732,Female,49.0,Cash
C842105,Female,48.0,Credit Card
C327698,Female,18.0,Credit Card
C345061,Male,31.0,Cash
C177599,Female,21.0,Credit Card
C277491,Female,63.0,Debit Card
C205343,Female,23.0,Cash
C217063,Female,32.0,Credit Card
C116102,Male,51.0,Cash
C302513,Female,35.0,Cash
C427750,Female,55.0,Cash
C136340,Female,25.0,Credit Card
C167868,Female,46.0,Credit Card
C576464,Male,34.0,Debit Card
C230337,Male,68.0,Credit Card
C335397,Female,nan,Debit Card
C282899,Female,52.0,Cash
C274104,Female,42.0,Credit Card
C146350,Female,62.0,Credit Card
C184889,Female,58.0,Debit Card
C284317,Female,65.0,Cash
C267980,Male,68.0,Debit Card
C259145,Female,31.0,Debit Card
C175653,Male,48.0,Credit Card
C326660,Male,29.0,Debit Card
C245725,Male,28.0,Cash
C222986,Male,30.0,Debit Card
C217781,Male,43.0,Credit Card
C556907,Male,18.0,Credit Card
C187418,Male,55.0,Cash
C266273,Female,53.0,Cash
C261852,Male,24.0,Credit Card
C321070,Female,27.0,Debit Card
C102621,Female,32.0,Cash
C929701,Male,56.0,Credit Card
C262131,Female,35.0,Credit Card
C244908,Female,25.0,Credit Card
C171644,Male,36.0,Credit Card
C528132,Female,23.0,Credit Card
C244853,Male,55.0,Credit Card
C321712,Male,33.0,Cash
C162221,Female,52.0,Cash
C292055,Female,27.0,Credit Card
C173088,Male,40.0,Cash
C164128,Male,28.0,Cash
C273940,Female,37.0,Credit Card
C705431,Male,50.0,Cash
C279238,Female,52.0,Debit Card
C984717,Female,45.0,Credit Card
C313383,Male,47.0,Credit Card
C803416,Male,61.0,Credit Card
C191112,Female,60.0,Cash
C237125,Male,59.0,Credit Card
C295944,Female,47.0,Credit Card
C160190,Male,19.0,Cash
C202466,Female,37.0,Debit Card
C320154,Male,28.0,Cash
C172298,Male,59.0,Cash
C334709,Male,68.0,Credit Card
C201349,Male,38.0,Cash
C258102,Male,40.0,Cash
C536006,Male,20.0,Credit Card
C317372,Male,26.0,Cash
C243140,Male,30.0,Credit Card
C274211,Male,44.0,Debit Card
C102229,Male,61.0,Debit Card
C302627,Female,22.0,Cash
C274092,Female,64.0,Debit Card
C334754,Female,25.0,Cash
C224335,Female,57.0,Cash
C809804,Female,64.0,Debit Card
C285291,Male,40.0,Credit Card
C111351,Female,30.0,Credit Card
C291487,Male,36.0,Credit Card
C635269,Male,27.0,Cash
C821021,Female,35.0,Debit Card
C270690,Female,54.0,Cash
C819570,Female,47.0,Credit Card
C578262,Female,50.0,Cash
C215532,Male,31.0,Credit Card
C319906,Female,24.0,Debit Card
C968953,Female,66.0,Credit Card
C428460,Male,32.0,Cash
C232202,Female,47.0,Credit Card
C144999,Male,59.0,Debit Card
C478263,Male,27.0,Debit Card
C321454,Female,58.0,Cash
C228532,Female,45.0,Cash
C303814,Male,24.0,Credit Card
C131272,Male,45.0,Cash
C496323,Female,39.0,Credit Card
C143884,Male,66.0,Cash
C647979,Female,23.0,Cash
C158294,Male,41.0,Cash
C123056,Male,27.0,Cash
C188906,Female,66.0,Cash
C228733,Female,56.0,Debit Card
C585495,Male,25.0,Credit Card
C995911,Female,29.0,Cash
C700641,Male,20.0,Cash
C224325,Female,65.0,Credit Card
C521953,Female,53.0,Cash
C680571,Female,42.0,Cash
C290218,Female,56.0,Credit Card
C433818,Male,19.0,Cash
C288504,Female,65.0,Credit Card
C307271,Male,21.0,Debit Card
C160954,Male,60.0,Debit Card
C609099,Male,39.0,Debit Card
C287566,Female,47.0,Cash
C708745,Female,33.0,Credit Card
C229441,Female,39.0,Credit Card
C110178,Female,58.0,Credit Card
C171393,Female,37.0,Cash
C774345,Female,31.0,Credit Card
C959534,Female,21.0,Cash
C166596,Female,40.0,Cash
C128835,Female,41.0,Debit Card
C319821,Female,25.0,Cash
C301209,Female,66.0,Cash
C172290,Male,28.0,Cash
C363873,Female,67.0,Credit Card
C146621,Male,52.0,Cash
C527547,Female,44.0,Credit Card
C126321,Male,56.0,Cash
C191860,Male,45.0,Credit Card
C232056,Female,47.0,Cash
C329233,Male,43.0,Credit Card
C123824,Female,38.0,Debit Card
C262359,Female,51.0,Cash
C576705,Male,46.0,Cash
C275514,Male,32.0,Debit Card
C336733,Male,64.0,Cash
C184098,Male,63.0,Cash
C534080,Female,19.0,Credit Card
C267887,Female,46.0,Credit Card
C270684,Male,45.0,Credit Card
C380708,Male,40.0,Cash
C265661,Female,46.0,Credit Card
C295359,Female,24.0,Credit Card
C100935,Male,57.0,Credit Card
C249698,Female,38.0,Cash
C144322,Female,60.0,Credit Card
C105232,Female,21.0,Cash
C972639,Female,54.0,Cash
C163330,Male,18.0,Cash
C639755,Female,26.0,Debit Card
C228328,Male,29.0,Cash
C729877,Male,28.0,Debit Card
C266956,Male,48.0,Cash
C104902,Female,49.0,Cash
C313694,Male,55.0,Credit Card
C244365,Male,41.0,Credit Card
C118838,Female,24.0,Debit Card
C336330,Female,67.0,Credit Card
C211860,Female,24.0,Credit Card
C208555,Male,31.0,Debit Card
C857495,Female,46.0,Debit Card
C278108,Male,23.0,Cash
C103175,Female,23.0,Credit Card
C198568,Male,47.0,Cash
C905558,Female,56.0,Cash
C276382,Male,32.0,Debit Card
C274364,Female,22.0,Credit Card
C144603,Male,53.0,Debit Card
C253936,Female,38.0,Cash
C214456,Male,18.0,Credit Card
C282309,Male,54.0,Cash
C306902,Female,40.0,Cash
C260490,Male,52.0,Cash
C924056,Female,59.0,Debit Card
C329576,Male,68.0,Cash
C569733,Male,43.0,Credit Card
C200253,Male,63.0,Cash
C153900,Male,54.0,Credit Card
C322042,Female,49.0,Credit Card
C202257,Female,38.0,Cash
C309187,Female,30.0,Debit Card
C114031,Male,50.0,Credit Card
C116741,Female,67.0,Credit Card
C717516,Female,26.0,Credit Card
C222256,Female,42.0,Credit Card
C263920,Male,59.0,Credit Card
C135702,Female,55.0,Credit Card
C318027,Female,35.0,Cash
C133188,Male,67.0,Credit Card
C316610,Female,38.0,Cash
C308344,Female,50.0,Credit Card
C102503,Female,49.0,Debit Card
C216370,Female,56.0,Cash
C138370,Female,31.0,Credit Card
C159046,Female,38.0,Cash
C983606,Male,53.0,Credit Card
C316484,Male,37.0,Cash
C322610,Male,35.0,Cash
C707096,Male,45.0,Debit Card
C312415,Female,52.0,Debit Card
C154673,Male,69.0,Cash
C246322,Female,66.0,Cash
C297375,Female,36.0,Cash
C150361,Female,55.0,Credit Card
C189331,Female,52.0,Credit Card
C223171,Female,23.0,Cash
C777448,Female,49.0,Credit Card
C249056,Male,20.0,Credit Card
C295146,Female,40.0,Cash
C193367,Male,35.0,Credit Card
C304504,Male,42.0,Cash
C627796,Male,44.0,Credit Card
C151768,Male,37.0,Cash
C336474,Female,23.0,Credit Card
C240704,Male,60.0,Credit Card
C985316,Male,57.0,Credit Card
C207334,Female,31.0,Credit Card
C270008,Female,26.0,Cash
C298481,Male,40.0,Credit Card
C278171,Female,47.0,Credit Card
C158610,Male,42.0,Credit Card
C121497,Female,41.0,Cash
C651058,Male,28.0,Credit Card
C645989,Female,57.0,Cash
C622249,Male,49.0,Debit Card
C395741,Female,51.0,Cash
C125101,Male,18.0,Cash
C160201,Male,48.0,Debit Card
C112375,Female,33.0,Cash
C207145,Male,68.0,Credit Card
C398345,Female,54.0,Cash
C183394,Male,25.0,Debit Card
C248293,Male,35.0,Cash
C131276,Female,32.0,Cash
C171926,Male,19.0,Cash
C279291,Male,62.0,Cash
C125210,Female,67.0,Cash
